"2,6 xylidine"
"1878.1","9.4"
"1874.3","8.2"
"1870.5","7.5"
"1866.7","6.9"
"1862.9","7.2"
"1859","7.8"
"1855.2","8.8"
"1851.4","10"
"1847.6","11"
"1843.8","11.9"
"1840","12.2"
"1836.2","12.2"
"1832.4","11.6"
"1828.6","10.3"
"1824.8","9.1"
"1821","7.8"
"1817.1","7.2"
"1813.3","6.6"
"1809.5","7.2"
"1805.7","8.2"
"1801.9","9.1"
"1798.1","10.3"
"1794.3","11.6"
"1790.5","12.2"
"1786.7","12.5"
"1782.9","12.2"
"1779","11.9"
"1775.2","11"
"1771.4","10"
"1767.6","9.4"
"1763.8","8.8"
"1760","8.2"
"1756.2","7.2"
"1752.4","6.9"
"1748.6","6.6"
"1744.8","6.3"
"1741","6.3"
"1737.1","6.3"
"1733.3","6.6"
"1729.5","7.5"
"1725.7","8.5"
"1721.9","8.8"
"1718.1","8.8"
"1714.3","9.1"
"1710.5","9.1"
"1706.7","9.4"
"1702.9","9.4"
"1699","9.7"
"1695.2","10.3"
"1691.4","11.6"
"1687.6","12.9"
"1683.8","14.7"
"1680","16.3"
"1676.2","19.1"
"1672.4","21.9"
"1668.6","26.6"
"1664.8","31.3"
"1661","35.4"
"1657.1","40.1"
"1653.3","46.1"
"1649.5","52.4"
"1645.7","60.5"
"1641.9","69"
"1638.1","76.5"
"1634.3","81.8"
"1630.5","87.1"
"1626.7","90.3"
"1622.9","91.2"
"1619","91.2"
"1615.2","89.7"
"1611.4","85.6"
"1607.6","79.3"
"1603.8","70.8"
"1600","62.4"
"1596.2","57.1"
"1592.4","54.2"
"1588.6","45.5"
"1584.8","37.9"
"1581","31.7"
"1577.1","27.6"
"1573.3","23.8"
"1569.5","21.6"
"1565.7","20.1"
"1561.9","18.8"
"1558.1","17.2"
"1554.3","16.3"
"1550.5","16"
"1546.7","15.7"
"1542.9","16"
"1539","17.2"
"1535.2","18.8"
"1531.4","20.4"
"1527.6","20.7"
"1523.8","20.4"
"1520","19.7"
"1516.2","19.7"
"1512.4","21.9"
"1508.6","25.1"
"1504.8","29.2"
"1501","35.7"
"1497.1","43.9"
"1493.3","57.1"
"1489.5","74.3"
"1485.7","90.6"
"1481.9","95.3"
"1478.1","95.6"
"1474.3","95.6"
"1470.5","93.4"
"1466.7","85.6"
"1462.9","69.9"
"1459","56.4"
"1455.2","49.8"
"1451.4","55.5"
"1447.6","68.7"
"1443.8","74"
"1440","74"
"1436.2","68"
"1432.4","65.2"
"1428.6","67.7"
"1424.8","65.5"
"1421","48"
"1417.1","32"
"1413.3","22.3"
"1409.5","17.2"
"1405.7","15"
"1401.9","13.5"
"1398.1","12.9"
"1394.3","13.2"
"1390.5","15"
"1386.7","21.3"
"1382.9","37.3"
"1379","44.8"
"1375.2","44.8"
"1371.4","38.6"
"1367.6","20.4"
"1363.8","13.5"
"1360","10"
"1356.2","8.2"
"1352.4","6.9"
"1348.6","6"
"1344.8","5.6"
"1341","5.3"
"1337.1","5.6"
"1333.3","6.3"
"1329.5","7.8"
"1325.7","11.9"
"1321.9","23.2"
"1318.1","41.4"
"1314.3","46.4"
"1310.5","43.3"
"1306.7","29.2"
"1302.9","20.4"
"1299","16.9"
"1295.2","19.1"
"1291.4","26.3"
"1287.6","34.8"
"1283.8","48.6"
"1280","64.6"
"1276.2","73.7"
"1272.4","75.2"
"1268.6","74.6"
"1264.8","64.3"
"1261","47.6"
"1257.1","32.6"
"1253.3","23.5"
"1249.5","16.6"
"1245.7","12.2"
"1241.9","9.7"
"1238.1","10.7"
"1234.3","27.3"
"1230.5","43.9"
"1226.7","44.2"
"1222.9","38.6"
"1219","26"
"1215.2","17.9"
"1211.4","12.9"
"1207.6","10.7"
"1203.8","8.8"
"1200","7.5"
"1196.2","6.9"
"1192.4","6.3"
"1188.6","6"
"1184.8","5.6"
"1181","5.3"
"1177.1","5.3"
"1173.3","5.6"
"1169.5","6.6"
"1165.7","8.2"
"1161.9","11.6"
"1158.1","11.6"
"1154.3","9.4"
"1150.5","10"
"1146.7","12.5"
"1142.9","14.4"
"1139","15.7"
"1135.2","15.7"
"1131.4","14.1"
"1127.6","11.6"
"1123.8","9.1"
"1120","7.8"
"1116.2","7.2"
"1112.4","9.4"
"1108.6","13.5"
"1104.8","21.6"
"1101","33.2"
"1097.1","44.2"
"1093.3","53.3"
"1089.5","62.4"
"1085.7","62.1"
"1081.9","46.7"
"1078.1","30.7"
"1074.3","20.4"
"1070.5","13.8"
"1066.7","9.7"
"1062.9","7.5"
"1059","6.3"
"1055.2","5.6"
"1051.4","5.3"
"1047.6","5.3"
"1043.8","6.3"
"1040","7.8"
"1036.2","12.9"
"1032.4","19.4"
"1028.6","28.8"
"1024.8","28.8"
"1021","19.1"
"1017.1","12.2"
"1013.3","15.4"
"1009.5","25.7"
"1005.7","32.9"
"1001.9","32.9"
"998.1","29.5"
"994.3","23.2"
"990.5","27.3"
"986.7","33.9"
"982.9","31.7"
"979","18.8"
"975.2","12.2"
"971.4","9.7"
"967.6","8.5"
"963.8","7.8"
"960","8.8"
"956.2","10.3"
"952.4","13.2"
"948.6","14.7"
"944.8","14.7"
"941","13.2"
"937.1","10"
"933.3","7.5"
"929.5","6.3"
"925.7","6"
"921.9","5.6"
"918.1","6"
"914.3","6.3"
"910.5","6.9"
"906.7","7.8"
"902.9","9.1"
"899","11.6"
"895.2","14.4"
"891.4","16.9"
"887.6","17.2"
"883.8","15"
"880","10"
"876.2","7.8"
"872.4","6.9"
"868.6","6.6"
"864.8","6.9"
"861","7.5"
"857.1","8.2"
"853.3","9.4"
"849.5","10.7"
"845.7","12.2"
"841.9","14.4"
"838.1","16.6"
"834.3","18.2"
"830.5","19.1"
"826.7","19.1"
"822.9","18.8"
"819","18.5"
"815.2","18.2"
"811.4","17.6"
"807.6","17.9"
"803.8","18.5"
"800","19.7"
"796.2","21.6"
"792.4","23.5"
"788.6","26.3"
"784.8","30.4"
"781","36.1"
"777.1","43.3"
"773.3","56.4"
"769.5","70.2"
"765.7","81.5"
"761.9","87.1"
"758.1","89.7"
"754.3","89.7"
"750.5","87.1"
"746.7","75.5"
"742.9","64.3"
"739","64.6"
"735.2","74.3"
"731.4","77.1"
"727.6","74.6"
"723.8","50.2"
"720","33.9"
"716.2","30.4"
"712.4","32"
"708.6","34.2"
"704.8","36.1"
"701","37.6"
"697.1","38.9"
"693.3","40.1"
"689.5","41.4"
"685.7","42.3"
"681.9","43.3"
"678.1","43.9"
"674.3","43.9"
"670.5","41.7"
"666.7","39.5"
"662.9","45.1"
"659","46.4"
"655.2","47"
"651.4","47.3"
"647.6","47.6"
"643.8","47.6"
"640","47.6"
"636.2","47.6"
"632.4","47.6"
"628.6","47.6"
"624.8","47.6"
"621","47.6"
"617.1","47.3"
"613.3","47"
"609.5","46.7"
"605.7","46.7"
"601.9","46.1"
"598.1","45.8"
"594.3","45.1"
"590.5","44.8"
"586.7","44.2"
"582.9","43.6"
"579","42.6"
"575.2","42"
"571.4","40.4"
"567.6","37.9"
"563.8","36.1"
"560","34.5"
"556.2","32.9"
"552.4","33.9"
"548.6","37.9"
"544.8","46.7"
"541","51.7"
"537.1","52"
"533.3","51.1"
"529.5","48.9"
"525.7","46.1"
"521.9","43.6"
"518.1","41.1"
"514.3","39.5"
"510.5","37.6"
"506.7","35.7"
"502.9","34.5"
"499","34.5"
"495.2","34.5"
"491.4","34.2"
"487.6","33.5"
"483.8","32.9"
"480","32"
"476.2","30.7"
"472.4","29.8"
"468.6","28.5"
"464.8","27.3"
"461","26"
"457.1","25.1"
"453.3","23.8"
"449.5","22.6"
"445.7","21.6"
"441.9","21"
"438.1","20.7"
"434.3","20.4"
"430.5","20.7"
"426.7","21"
"422.9","21.6"
"419","22.3"
"415.2","22.9"
"411.4","23.5"
"407.6","24.1"
"403.8","24.5"
"400","24.8"
