"3,3dimethyl2butanone"
"1866.7","7.6"
"1862.9","7.3"
"1859","7"
"1855.2","7"
"1851.4","7"
"1847.6","6.7"
"1843.8","6.7"
"1840","7"
"1836.2","7"
"1832.4","7.3"
"1828.6","7.6"
"1824.8","8.3"
"1821","8.6"
"1817.1","9.2"
"1813.3","9.5"
"1809.5","9.8"
"1805.7","9.8"
"1801.9","10.2"
"1798.1","10.5"
"1794.3","11.1"
"1790.5","12.1"
"1786.7","13.3"
"1782.9","14.3"
"1779","15.2"
"1775.2","16.2"
"1771.4","17.5"
"1767.6","19"
"1763.8","20.6"
"1760","22.5"
"1756.2","25.1"
"1752.4","27.3"
"1748.6","31.1"
"1744.8","35.9"
"1741","42.9"
"1737.1","48.9"
"1733.3","55.9"
"1729.5","61"
"1725.7","66.7"
"1721.9","73.7"
"1718.1","81.3"
"1714.3","89.5"
"1710.5","95.2"
"1706.7","96.8"
"1702.9","96.8"
"1699","96.2"
"1695.2","92.4"
"1691.4","85.1"
"1687.6","78.4"
"1683.8","71.1"
"1680","63.5"
"1676.2","56.2"
"1672.4","51.7"
"1668.6","49.5"
"1664.8","49.5"
"1661","49.2"
"1657.1","47.9"
"1653.3","45.4"
"1649.5","41.6"
"1645.7","37.1"
"1641.9","33.3"
"1638.1","29.5"
"1634.3","27.3"
"1630.5","26"
"1626.7","25.7"
"1622.9","25.4"
"1619","24.4"
"1615.2","22.5"
"1611.4","20.6"
"1607.6","18.7"
"1603.8","17.5"
"1600","17.5"
"1596.2","17.8"
"1592.4","17.8"
"1588.6","17.8"
"1584.8","17.5"
"1581","16.8"
"1577.1","15.9"
"1573.3","15.2"
"1569.5","15.2"
"1565.7","15.2"
"1561.9","15.2"
"1558.1","15.6"
"1554.3","15.9"
"1550.5","16.2"
"1546.7","16.8"
"1542.9","17.1"
"1539","17.5"
"1535.2","18.1"
"1531.4","18.7"
"1527.6","19.4"
"1523.8","20.3"
"1520","21.3"
"1516.2","22.2"
"1512.4","23.8"
"1508.6","26"
"1504.8","30.2"
"1501","34"
"1497.1","38.4"
"1493.3","42.5"
"1489.5","47.6"
"1485.7","54.6"
"1481.9","65.4"
"1478.1","77.1"
"1474.3","83.5"
"1470.5","83.2"
"1466.7","77.1"
"1462.9","76.5"
"1459","76.5"
"1455.2","74.9"
"1451.4","70.2"
"1447.6","64.8"
"1443.8","61.3"
"1440","61.3"
"1436.2","62.5"
"1432.4","63.8"
"1428.6","64.8"
"1424.8","65.1"
"1421","64.8"
"1417.1","63.8"
"1413.3","61.6"
"1409.5","59"
"1405.7","57.1"
"1401.9","55.9"
"1398.1","54.6"
"1394.3","60"
"1390.5","64.4"
"1386.7","64.1"
"1382.9","61"
"1379","60.3"
"1375.2","58.4"
"1371.4","63.8"
"1367.6","74.9"
"1363.8","85.1"
"1360","86"
"1356.2","84.1"
"1352.4","86.7"
"1348.6","87"
"1344.8","83.8"
"1341","75.2"
"1337.1","64.8"
"1333.3","54.9"
"1329.5","45.1"
"1325.7","38.1"
"1321.9","32.1"
"1318.1","27.6"
"1314.3","24.4"
"1310.5","22.2"
"1306.7","20.6"
"1302.9","19"
"1299","18.4"
"1295.2","19"
"1291.4","20.6"
"1287.6","22.2"
"1283.8","24.4"
"1280","30.8"
"1276.2","44.8"
"1272.4","60"
"1268.6","61.3"
"1264.8","57.5"
"1261","43.8"
"1257.1","32.4"
"1253.3","25.7"
"1249.5","22.5"
"1245.7","19.7"
"1241.9","18.1"
"1238.1","18.4"
"1234.3","19.7"
"1230.5","23.5"
"1226.7","29.8"
"1222.9","36.5"
"1219","40"
"1215.2","40"
"1211.4","37.5"
"1207.6","34"
"1203.8","35.9"
"1200","39.7"
"1196.2","39.7"
"1192.4","35.6"
"1188.6","30.5"
"1184.8","26.7"
"1181","24.4"
"1177.1","23.8"
"1173.3","24.8"
"1169.5","27"
"1165.7","29.2"
"1161.9","31.7"
"1158.1","35.9"
"1154.3","41.3"
"1150.5","48.3"
"1146.7","55.9"
"1142.9","67.3"
"1139","80.6"
"1135.2","89.5"
"1131.4","92.4"
"1127.6","92.1"
"1123.8","86"
"1120","74"
"1116.2","62.5"
"1112.4","52.4"
"1108.6","42.9"
"1104.8","35.2"
"1101","30.8"
"1097.1","26.3"
"1093.3","22.5"
"1089.5","19.7"
"1085.7","18.1"
"1081.9","16.5"
"1078.1","15.2"
"1074.3","14.3"
"1070.5","13.7"
"1066.7","13"
"1062.9","12.7"
"1059","12.7"
"1055.2","13.3"
"1051.4","14.6"
"1047.6","17.8"
"1043.8","21.9"
"1040","22.5"
"1036.2","20.6"
"1032.4","16.8"
"1028.6","15.2"
"1024.8","14"
"1021","12.7"
"1017.1","12.4"
"1013.3","12.1"
"1009.5","12.1"
"1005.7","12.4"
"1001.9","12.7"
"998.1","13.7"
"994.3","14.9"
"990.5","16.5"
"986.7","19"
"982.9","22.2"
"979","28.6"
"975.2","35.2"
"971.4","36.5"
"967.6","35.9"
"963.8","36.2"
"960","42.9"
"956.2","53"
"952.4","63.8"
"948.6","67"
"944.8","66.3"
"941","56.8"
"937.1","43.5"
"933.3","37.5"
"929.5","34.9"
"925.7","30.2"
"921.9","22.5"
"918.1","17.8"
"914.3","14"
"910.5","11.7"
"906.7","10.2"
"902.9","9.5"
"899","8.6"
"895.2","8.3"
"891.4","7.6"
"887.6","7.3"
"883.8","7"
"880","6.7"
"876.2","6.7"
"872.4","6.3"
"868.6","6.3"
"864.8","6.3"
"861","6.3"
"857.1","6.7"
"853.3","7"
"849.5","7.6"
"845.7","8.3"
"841.9","9.8"
